Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2011-07-14,47.06673146924964,47.33387712536539,46.52353337688086,46.755062103271484,1538400,0.0,0.0
2011-07-15,46.835183701679995,47.07561569607876,46.51460770914831,46.82182693481445,1978600,0.0,0.0
2011-07-18,46.71942169145035,46.821829237355026,46.23855767900554,46.67934799194336,1527200,0.0,0.0
2011-07-19,46.99992384219452,47.78800709276343,46.99992384219452,47.60100555419922,1099600,0.0,0.0
2011-07-20,47.60101066935841,47.69451144868802,46.94650181711095,47.25817108154297,1194200,0.0,0.0
2011-07-21,47.56094989806121,48.179838603530925,47.40511522347192,47.74795150756836,1651800,0.0,0.0
2011-07-22,47.83253570206753,48.42916069034565,47.67670107057252,47.74348831176758,1763800,0.0,0.0
2011-07-25,47.40956365662592,47.917141341901534,47.26708576947734,47.59656524658203,1368200,0.0,0.0
2011-07-26,47.427365078218344,47.80582500180653,47.26708044555302,47.38729476928711,1359800,0.0,0.0
2011-07-27,47.0845283590751,47.32941378969513,46.523520261525796,46.59476089477539,1991600,0.0,0.0
2011-07-28,46.74167360349582,47.38282206359761,46.72831344235829,46.94203186035156,1824400,0.0,0.0
2011-07-29,46.41666299414346,47.173576043904895,46.08718355568805,46.71052551269531,1921400,0.0,0.0
2011-08-01,47.231459617447115,47.262626545258726,45.926895244292055,46.59476089477539,1844000,0.0,0.0
2011-08-02,46.278632384597216,47.031091945881684,45.259023879297985,45.32135772705078,2477200,0.0,0.0
2011-08-03,45.42377254318312,45.50836995511289,44.20825882967601,44.84941101074219,4154200,0.0,0.0
2011-08-04,44.31065962470667,44.551091674265315,42.26253890991211,42.26253890991211,4572000,0.0,0.0
2011-08-05,42.903682385168565,42.99718315275182,41.24737530925992,42.507415771484375,4419800,0.0,0.0
2011-08-08,41.363146630520006,41.835103936482945,38.767374653843135,38.954376220703125,4934400,0.0,0.0
2011-08-09,39.40852075187226,40.601774001137656,38.135123500904726,40.5394401550293,7649200,0.0,0.0
2011-08-10,39.769168131553506,41.82174191106573,39.14582625675124,40.68191909790039,5815200,0.0,0.0
2011-08-11,40.85112103351107,44.24388021036457,40.739810077016486,43.72294235229492,5674600,0.0,0.0
2011-08-12,43.72293540061563,46.39885132043452,43.41571951945579,44.90283203125,6999600,0.0,0.0
2011-08-15,42.151219800497095,42.90813612034258,39.22151547142867,41.973121643066406,14257800,0.0,0.0
2011-08-16,42.3604914965379,43.126311315237174,41.28745579015324,41.830650329589844,4995000,0.0,0.0
2011-08-17,41.88854012754995,42.899242121829715,41.870729966808085,42.338233947753906,3113200,0.0,0.0
2011-08-18,41.3319783197249,41.5011697226122,39.89383950589201,40.739803314208984,5486600,0.0,0.0
2011-08-19,40.13427430220419,40.713092578510306,39.310573983568936,39.43524169921875,5066000,0.0,0.0
2011-08-22,40.15654248247764,40.441498264532015,39.074599829791495,39.39517593383789,4233600,0.0,0.0
2011-08-23,39.582169457638315,41.01585485453419,39.582169457638315,40.99359130859375,4305000,0.0,0.0
2011-08-24,40.8956406231881,41.57241307288811,40.46820700087569,41.53679275512695,4191800,0.0,0.0
2011-08-25,41.710430747345484,42.06217368468643,41.25628365933789,41.505619049072266,2608400,0.0,0.0
2011-08-26,41.2963590702687,42.89033255908222,40.66856373311654,42.703330993652344,2860400,0.0,0.0
2011-08-29,43.08624157800585,43.78082422473803,42.9971941756523,43.09960174560547,3255800,0.0,0.0
2011-08-30,43.01054098807399,43.74074038852002,42.779015757395435,43.424617767333984,2654800,0.0,0.0
2011-08-31,43.76746152358849,44.119201093082765,43.11740266611605,43.482505798339844,2267200,0.0,0.0
2011-09-01,43.32666577795157,44.31065400223315,43.03726007435231,43.70957565307617,2865600,0.0,0.0
2011-09-02,42.997180183907105,43.589355067986034,42.6053669853348,42.75674819946289,2106000,0.0,0.0
2011-09-06,41.576858008965274,42.440631926461734,41.11825751361491,42.38275146484375,2253400,0.0,0.0
2011-09-07,43.1174121246529,43.56710935721661,43.015007943052055,43.3712043762207,3176400,0.0,0.0
2011-09-08,43.19308566036161,44.04349923046082,43.14856197658154,43.38454055786133,1996000,0.0,0.0
2011-09-09,42.94376287207749,42.94376287207749,41.683725507942945,42.02656173706055,2266400,0.0,0.0
2011-09-12,41.42549085295791,42.08444989068675,41.14498843247159,41.58132553100586,2575000,0.0,0.0
2011-09-13,41.75941366448815,42.67661474517297,41.53679177912268,42.565303802490234,2036800,0.0,0.0
2011-09-14,42.779019759360274,43.82534187887547,42.218011690507204,43.31776428222656,1943600,0.0,0.0
2011-09-15,45.02750618322359,45.02750618322359,43.61608409255239,44.08359146118164,4474600,0.0,0.0
2011-09-16,44.55999544393168,45.3658855467378,44.234966010839464,45.281288146972656,2814200,0.0,0.0
2011-09-19,44.51546847283754,45.325811904676435,44.457584615387624,45.067569732666016,3000400,0.0,0.0
2011-09-20,45.267934206882,47.38284215765609,45.267934206882,45.806678771972656,4158600,0.0,0.0
2011-09-21,45.74432858094915,46.291979728361554,44.346263885498054,44.34626388549805,2542200,0.0,0.0
2011-09-22,43.05507068236266,43.335576428130615,41.523434441904456,41.830650329589844,4208600,0.0,0.0
2011-09-23,41.61693641337292,42.654355229888004,41.14052570747507,42.36049270629883,3392800,0.0,0.0
2011-09-26,43.331114161292135,43.58044953138628,41.15387287002676,42.13340759277344,4208000,0.0,0.0
2011-09-27,43.05951389877778,44.341814415125356,42.66324731361323,43.2420654296875,3633400,0.0,0.0
2011-09-28,43.24652282081488,43.295499903491624,40.299011464851596,40.47265625,4956000,0.0,0.0
2011-09-29,41.07372718258666,41.31861255166514,38.380001710481324,39.599971771240234,6363400,0.0,0.0
2011-09-30,39.27939372868189,39.7914245844804,38.73619595454465,39.110198974609375,4695800,0.0,0.0
2011-10-03,38.77626330863071,39.1814366132301,37.369295305745766,37.48950958251953,4218600,0.0,0.0
2011-10-04,36.80384075979151,38.981081878576944,36.291809896534176,38.90538787841797,5600000,0.0,0.0
2011-10-05,38.88758888841315,39.38180974038396,38.3933714333827,39.168094635009766,2406200,0.0,0.0
2011-10-06,39.021151759983134,40.26338190481976,38.98998484152226,39.982879638671875,3151600,0.0,0.0
2011-10-07,40.30345600186975,41.999836715033894,40.24557554696701,40.815486907958984,3912200,0.0,0.0
2011-10-10,41.434383158453876,41.97758108837609,41.193951120769924,41.919700622558594,1960800,0.0,0.0
2011-10-11,41.71041870246541,42.262519790419105,41.518963827223715,41.924137115478516,1554400,0.0,0.0
2011-10-12,42.52524949766219,43.52259496829845,42.19576653752617,42.97939682006836,2790800,0.0,0.0
2011-10-13,42.80574559148264,43.29551317139919,42.5074330124447,43.07289123535156,1590400,0.0,0.0
2011-10-14,43.486962301825855,44.01680352511532,43.046171879098864,43.62053680419922,1270400,0.0,0.0
2011-10-17,43.495852366712924,43.93218923251058,42.458433868146386,42.587554931640625,1425800,0.0,0.0
2011-10-18,42.49850110780195,43.01943871185282,41.541230066284214,42.67214584350586,2003400,0.0,0.0
2011-10-19,42.77010487850017,42.97936994214161,41.85290402622275,42.0399055480957,1627600,0.0,0.0
2011-10-20,42.360489185885214,42.98828449032098,42.066630083657955,42.476253509521484,2024600,0.0,0.0
2011-10-21,42.92149438202934,43.308854236217016,42.81018345437726,43.17082977294922,2248200,0.0,0.0
2011-10-24,43.28658710626873,44.2705751403527,43.161919430919006,44.234954833984375,1765000,0.0,0.0
2011-10-25,43.94111111100765,43.99899158132131,42.939312574641555,43.0150032043457,1549400,0.0,0.0
2011-10-26,43.39345758524235,43.4513380526688,42.38275571806741,43.23316955566406,1720800,0.0,0.0
2011-10-27,44.42642768527929,45.797779462107236,44.28840318850674,45.477203369140625,2691200,0.0,0.0
2011-10-28,45.397057957947894,45.77106452062113,44.81824304951308,45.15217590332031,1907800,0.0,0.0
2011-10-31,44.907290608315016,45.21895991417876,43.82089463312024,43.834251403808594,2283600,0.0,0.0
